,category,precision_@0.5IOU,recall_@0.5IOU
0,cocacola,0.954248366013072,0.8342857142857143
1,biasaigon,0.9565217391304348,0.9565217391304348
2,heineken,0.9642857142857143,0.7941176470588235
3,tiger,0.9454545454545454,0.8253968253968254
4,333,0.896551724137931,1.0
5,fuzetea,1.0,1.0
6,aquarius,1.0,1.0
7,dasani,1.0,1.0
8,nutriboost,1.0,0.9090909090909091
9,minutemaid,0.9230769230769231,0.9230769230769231
10,lavie,1.0,1.0
11,sprite,0.9622641509433962,0.9329268292682927
12,sapporo,1.0,0.7692307692307693
13,zorok,1.0,1.0
14,budweiser,1.0,0.6666666666666666
15,schweppes,1.0,1.0
16,nescafe,,
17,pepsi,1.0,0.8703703703703703
18,wonderfarm,1.0,0.5
19,lipton,1.0,1.0
20,aquafina,,0.0
21,7up,,0.0
22,teaplus,,0.0
23,vfresh,,
24,biastaropramen,,
25,coronaextra,1.0,0.8333333333333334
26,asahi,,
27,bierelarue,0.8571428571428571,1.0
28,redrock,1.0,1.0
29,biaviet,1.0,1.0
30,biahanoi,0.875,1.0
31,biahuda,1.0,1.0
32,biabeck,0.75,1.0
33,247,1.0,1.0
34,redbull,0.9,0.9473684210526315
35,drthanh,1.0,1.0
36,fanta,0.9705882352941176,0.8839285714285714
37,biasanmiguel,1.0,1.0
38,sting,1.0,0.8888888888888888
39,mirinda,1.0,0.7272727272727273
40,biadaiviet,1.0,1.0
41,biahalida,1.0,1.0
42,biavietha,1.0,1.0
43,yomost,1.0,1.0
44,c2,1.0,1.0
45,carlsberg,1.0,0.8571428571428571
46,sodaevervess,,
47,bitburgerbeer,,
48,konigpilsener,,
49,drpepper,1.0,0.9230769230769231
50,mountaindew,1.0,0.9615384615384616
51,crush,0.8333333333333334,0.8333333333333334
52,tropicanatwister,,
53,evian,,0.0
54,pocarisweat,1.0,1.0
55,monster,1.0,0.8571428571428571
56,starbucks,1.0,1.0
57,highlandscoffee,1.0,1.0
58,woongjin,,
59,sojuyipsejoo,,
60,dietcoke,1.0,0.6923076923076923
61,budlight,,
62,labattblue,1.0,1.0
63,limca,0.9583333333333334,1.0
64,mugrootbeer,1.0,1.0
65,brahma,1.0,1.0
66,quilmes,1.0,1.0
67,pyraser,1.0,1.0
68,gatorade,1.0,1.0
69,sanbenedetto,,
70,alisea,1.0,1.0
71,estathe,0.7142857142857143,0.8333333333333334
72,movida,,
73,spumador,,
74,niascaportofino,,
75,tab,1.0,0.4
76,stoney,1.0,1.0
77,vey,,
78,brisk,,
79,kinley,1.0,0.8333333333333334
80,sunkist,1.0,1.0
81,icevalley,1.0,0.6666666666666666
82,simplyfruity,1.0,1.0
83,maaza,1.0,0.7
84,real,1.0,0.5
85,slice,1.0,0.7692307692307693
86,booster,1.0,0.75
87,powerfull,,
88,rani,1.0,0.75
89,vitamalt,1.0,1.0
90,bang,1.0,1.0
91,powerhorse,,
92,irnbru,1.0,0.9545454545454546
93,rubicon,1.0,1.0
94,lilt,1.0,1.0
95,sanpellegrino,,
96,yazoo,1.0,1.0
97,fruitshoot,,
98,strathmore,1.0,1.0
99,lucozade,1.0,1.0
100,chocomel,1.0,1.0
101,costacoffee,0.0,0.0
102,royalcrowncola,,
103,sundrop,,
104,bigred,1.0,1.0
105,A&W,1.0,1.0
106,canadadry,1.0,1.0
107,tango,1.0,0.8333333333333334
108,lighthouse,1.0,1.0
109,yoohoo,1.0,1.0
110,ski,1.0,1.0
111,squirt,1.0,1.0
112,newmix,1.0,1.0
113,modelo,1.0,0.5
114,jumex,1.0,1.0
115,coronita,,
116,vimto,,0.0
117,powerade,1.0,1.0
118,benshaws,0.75,1.0
119,noblehardcider,,
120,erdingerbeer,,
121,wentevineyardsbeer,,
122,southernpines,,
123,shani,,
124,britvic,,
125,highlandbrewing,,
126,pleburbanwinery,,
127,mamalittleyellapilsbeer,,
128,bedofnailsbeer,,
129,terrarpinbeer,,
130,perrierbeer,,
131,spindrift,,
132,wickedweedbeer,,
133,devilfootbeer,,
134,futuresobright,,
135,vitacoco,,
136,tangerinequad,,
137,line39wine,,
138,vinamilk,1.0,0.9333333333333333
139,thtruemilk,1.0,1.0
140,dalatmilk,1.0,1.0
141,twincowsmilk,1.0,1.0
142,lifmilk,1.0,1.0
143,bialacviet,0.6666666666666666,0.6666666666666666
144,tuborg,1.0,1.0
145,nestea,,
146,cappy,,
147,naturaqua,,
148,emotion,,
149,bomba,,
150,kozel,,
151,kobanyai,,
152,borsodi,,
153,gosser,,
154,strongbow,,
155,hell,,
156,thumsup,1.0,1.0
157,tropicana,1.0,0.875
158,probi,1.0,1.0
